Staff Key,faculty,school,broad_category,broad_contract_type,contract_type,contract_category,grade,gender,calc_fte,start_date,reporting_date
1030475C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,F,1,10/10/2012 00:00,30/04/2024 00:00
1000477C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,F,1,10/12/2012 00:00,30/04/2024 00:00
1080480C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC4,M,1,29/04/2013 00:00,30/04/2024 00:00
1030481C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,01/06/2013 00:00,30/04/2024 00:00
1080481C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,23/07/2013 00:00,30/04/2024 00:00
1140483C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,F,1,01/09/2013 00:00,30/04/2024 00:00
1050489C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,31/03/2014 00:00,30/04/2024 00:00
1050499C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,31/03/2015 00:00,30/04/2024 00:00
1030500C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,30/06/2015 00:00,30/04/2024 00:00
1060501C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,F,1,01/08/2015 00:00,30/04/2024 00:00
1050513C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,01/10/2016 00:00,30/04/2024 00:00
1030519C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,F,1,27/03/2017 00:00,30/04/2024 00:00
1100520C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC4,F,1,05/06/2017 00:00,30/04/2024 00:00
1100520C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC4,M,1,05/06/2017 00:00,30/04/2024 00:00
1110530C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,15/02/2018 00:00,30/04/2024 00:00
1070532C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,14/05/2018 00:00,30/04/2024 00:00
1140540C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,03/12/2018 00:00,30/04/2024 00:00
1140546C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,01/07/2019 00:00,30/04/2024 00:00
1050548C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC4,F,1,01/09/2019 00:00,30/04/2024 00:00
1100550C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,01/10/2019 00:00,30/04/2024 00:00
1050577C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,19/12/2022 00:00,30/04/2024 00:00
1150581C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,01/08/2023 00:00,30/04/2024 00:00
1150583C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,11/09/2023 00:00,30/04/2024 00:00
1140585C4,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC4,M,1,01/01/2024 00:00,30/04/2024 00:00
1060455C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,F,1,01/08/2010 00:00,30/04/2024 00:00
1050472C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,M,1,01/08/2012 00:00,30/04/2024 00:00
1000480C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,F,1,01/06/2013 00:00,30/04/2024 00:00
1080481C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC5,M,1,01/06/2013 00:00,30/04/2024 00:00
1050499C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,M,1,30/03/2015 00:00,30/04/2024 00:00
1080533C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,F,1,01/07/2018 00:00,30/04/2024 00:00
1020575C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,M,1,01/12/2022 00:00,30/04/2024 00:00
1070578C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,F,1,27/02/2023 00:00,30/04/2024 00:00
1050581C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,M,1,01/07/2023 00:00,30/04/2024 00:00
1150581C5,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC5,M,1,01/09/2023 00:00,30/04/2024 00:00
1020411 3,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 3,F,1,10/04/2006 00:00,30/04/2024 00:00
1050490 3,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 3,F,0.25,28/04/2014 00:00,30/04/2024 00:00
1040497 3,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 3,F,0.5,01/12/2014 00:00,30/04/2024 00:00
1050502 3,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 3,F,0.25,24/08/2015 00:00,30/04/2024 00:00
1010581 3,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 3,F,1,12/06/2023 00:00,30/04/2024 00:00
1040582 3,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 3,F,0.5,25/07/2023 00:00,30/04/2024 00:00
1012973 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,10/02/1992 00:00,30/04/2024 00:00
1120415 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,22/09/2006 00:00,30/04/2024 00:00
1060422 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,12/03/2007 00:00,30/04/2024 00:00
1150424 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,01/07/2007 00:00,30/04/2024 00:00
1140470 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,0.5,01/04/2012 00:00,30/04/2024 00:00
1000475 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,0.5,08/10/2012 00:00,30/04/2024 00:00
1120479 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,08/04/2013 00:00,30/04/2024 00:00
1000534 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,0.5,20/08/2018 00:00,30/04/2024 00:00
1150545 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,17/06/2019 00:00,30/04/2024 00:00
1080571 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,04/04/2022 00:00,30/04/2024 00:00
1010574 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,01/08/2022 00:00,30/04/2024 00:00
1140576 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,31/10/2022 00:00,30/04/2024 00:00
1060576 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,16/11/2022 00:00,30/04/2024 00:00
1130579 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Technical,Grade 4,M,1,01/04/2023 00:00,30/04/2024 00:00
1030580 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Technical,Grade 4,M,1,01/05/2023 00:00,30/04/2024 00:00
1001696 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,1,07/08/1978 00:00,30/04/2024 00:00
1140433 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,1,09/06/2008 00:00,30/04/2024 00:00
1140474 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 5,M,1,10/09/2012 00:00,30/04/2024 00:00
1020530 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,1,01/03/2018 00:00,30/04/2024 00:00
1150534 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 5,M,1,30/07/2018 00:00,30/04/2024 00:00
1140569 6,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Technical,Grade 6,M,1,15/11/2021 00:00,30/04/2024 00:00
1012649 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,14/08/1989 00:00,30/04/2024 00:00
1020768 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Computer,Grade 7,M,1,08/10/2001 00:00,30/04/2024 00:00
1060947 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,20/09/2004 00:00,30/04/2024 00:00
1080423 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,0.6,10/05/2007 00:00,30/04/2024 00:00
1060429 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,01/12/2007 00:00,30/04/2024 00:00
1120443 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,0.9,01/09/2010 00:00,30/04/2024 00:00
1080524 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,20/09/2017 00:00,30/04/2024 00:00
1140527 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,27/11/2017 00:00,30/04/2024 00:00
1100530 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,14/02/2018 00:00,30/04/2024 00:00
1100553 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,06/01/2020 00:00,30/04/2024 00:00
1130570 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,28/02/2022 00:00,30/04/2024 00:00
1120573 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,01/08/2022 00:00,30/04/2024 00:00
1120574 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,01/09/2022 00:00,30/04/2024 00:00
1140582 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,01/10/2023 00:00,30/04/2024 00:00
1150584 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,F,1,30/10/2023 00:00,30/04/2024 00:00
1150422 8,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 8,F,1,01/04/2007 00:00,30/04/2024 00:00
1140558 8,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 8,M,1,31/08/2020 00:00,30/04/2024 00:00
1140580 8,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 8,F,1,17/04/2023 00:00,30/04/2024 00:00
1050438 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,01/10/2008 00:00,30/04/2024 00:00
1110445 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,01/07/2009 00:00,30/04/2024 00:00
1130464 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,01/09/2011 00:00,30/04/2024 00:00
1030477 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,01/01/2013 00:00,30/04/2024 00:00
1110535 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),Professorial Range 1,F,1,01/09/2018 00:00,30/04/2024 00:00
1030536 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,17/09/2018 00:00,30/04/2024 00:00
1110540 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),Professorial Range 1,M,1,01/01/2019 00:00,30/04/2024 00:00
1110541 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,01/01/2019 00:00,30/04/2024 00:00
1120553 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),Professorial Range 1,M,1,06/01/2020 00:00,30/04/2024 00:00
1020575 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,F,1,07/10/2022 00:00,30/04/2024 00:00
1000585 1,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 1,M,1,08/04/2024 00:00,30/04/2024 00:00
1020591 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 2,M,1,01/01/2000 00:00,30/04/2024 00:00
1030883 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 2,M,0.5,01/06/2003 00:00,30/04/2024 00:00
1000435 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 2,M,1,01/08/2008 00:00,30/04/2024 00:00
1120575 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 2,M,1,01/10/2022 00:00,30/04/2024 00:00
1140584 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,Professorial Range 2,M,1,01/10/2023 00:00,30/04/2024 00:00
1140583C1,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC1,M,1,01/09/2023 00:00,30/04/2024 00:00
1150588C1,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC1,M,1,29/02/2024 00:00,30/04/2024 00:00
1140580C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,M,1,01/05/2023 00:00,30/04/2024 00:00
1000571 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,1,01/06/2022 00:00,30/04/2024 00:00
1100487 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 5,F,1,02/12/2013 00:00,30/04/2024 00:00
1053098 9,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 9,F,1,01/01/1993 00:00,30/04/2024 00:00
1140582 1,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term - SPC,Clerical Intern/Student,Grade 1,M,1,26/07/2023 00:00,30/04/2024 00:00
1120543 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Perm - acting up,Acad-Rel Administrative,Grade 4,F,1,07/07/1997 00:00,30/04/2024 00:00
1120444 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,01/06/2009 00:00,30/04/2024 00:00
1120549 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,F,1,16/09/2019 00:00,30/04/2024 00:00
1140573 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,25/07/2022 00:00,30/04/2024 00:00
1140576 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Clerical,Grade 4,M,1,05/12/2022 00:00,30/04/2024 00:00
1140574 7,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 7,M,1,22/08/2022 00:00,30/04/2024 00:00
1080537 9,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 9,F,1,08/10/2018 00:00,30/04/2024 00:00
1120556 9,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Permanent,Acad-Rel Administrative,Grade 9,F,1,01/04/2020 00:00,30/04/2024 00:00
1140576C1,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC1,M,1,01/11/2022 00:00,31/05/2024 00:00
1140583C1,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC1,F,1,01/09/2023 00:00,31/05/2024 00:00
1150584C1,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC1,F,1,01/10/2023 00:00,31/05/2024 00:00
1130500C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,F,0.1,20/07/2015 00:00,31/05/2024 00:00
1130500C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,F,0.9,20/07/2015 00:00,31/05/2024 00:00
1140541C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,M,1,05/09/2022 00:00,31/05/2024 00:00
1120551C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,M,1,16/10/2019 00:00,31/05/2024 00:00
1130566C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,M,1,01/07/2021 00:00,31/05/2024 00:00
1140578C2,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC2,F,1,17/01/2023 00:00,31/05/2024 00:00
1140581C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Fixed,Fixed-term,Academic Non-Clinical (Education),AC2,M,1,15/08/2023 00:00,31/05/2024 00:00
1120527C3,"Arts, Humanities and Social Sciences",Queen's Business School,Research,Fixed,Fixed-term,Research,AC3,M,1,19/03/2019 00:00,31/05/2024 00:00
1150588 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term,Clerical,Grade 5,F,0.32000000000000006,15/04/2024 00:00,31/05/2024 00:00
1150588 5,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term,Clerical,Grade 5,F,0.48,15/04/2024 00:00,31/05/2024 00:00
1140581 1,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term - SPC,Clerical Intern/Student,Grade 1,F,1,19/06/2023 00:00,31/05/2024 00:00
1140581 1,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term - SPC,Clerical Intern/Student,Grade 1,F,1,20/06/2023 00:00,31/05/2024 00:00
1140582 1,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term - SPC,Clerical Intern/Student,Grade 1,F,1,19/07/2023 00:00,31/05/2024 00:00
1150584 2,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Fixed,Fixed-term - SPC,Clerical,Grade 2,F,1,16/10/2023 00:00,31/05/2024 00:00
1140546 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Perm on temp appt,Clerical,Grade 4,F,0.5,22/07/2019 00:00,31/05/2024 00:00
1140546 4,"Arts, Humanities and Social Sciences",Queen's Business School,Professional and Support,Permanent,Perm on temp appt,Clerical,Grade 4,F,1,22/07/2019 00:00,31/05/2024 00:00
1150418 2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Perm on temp appt,Academic Non-Clinical,Professorial Range 2,M,1,01/12/2006 00:00,31/05/2024 00:00
1070533C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/10/2019 00:00,31/05/2024 00:00
1010561C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,25/01/2021 00:00,31/05/2024 00:00
1130566C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,F,1,01/07/2021 00:00,31/05/2024 00:00
1110566C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/08/2021 00:00,31/05/2024 00:00
1130567C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,F,1,01/09/2021 00:00,31/05/2024 00:00
1130569C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/11/2021 00:00,31/05/2024 00:00
1120571C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC2,F,1,01/07/2022 00:00,31/05/2024 00:00
1000571C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/04/2022 00:00,31/05/2024 00:00
1140572C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/06/2022 00:00,31/05/2024 00:00
1120574C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,F,1,01/09/2022 00:00,31/05/2024 00:00
1030574C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/09/2022 00:00,31/05/2024 00:00
1140575C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,19/09/2022 00:00,31/05/2024 00:00
1110578C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,F,1,30/01/2023 00:00,31/05/2024 00:00
1150579C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC2,M,1,01/04/2023 00:00,31/05/2024 00:00
1150581C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,F,1,01/07/2023 00:00,31/05/2024 00:00
1150582C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,M,1,01/12/2023 00:00,31/05/2024 00:00
1150583C2,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC2,F,1,01/09/2023 00:00,31/05/2024 00:00
1013111C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,F,1,01/03/1993 00:00,31/05/2024 00:00
1110404C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC3,M,1,24/09/2018 00:00,31/05/2024 00:00
1030404C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,M,1,01/09/2005 00:00,31/05/2024 00:00
1030414C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC3,M,1,01/09/2006 00:00,31/05/2024 00:00
1080472C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,M,1,01/08/2012 00:00,31/05/2024 00:00
1090497C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC3,F,1,12/01/2015 00:00,31/05/2024 00:00
1060515C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic Education,Permanent,Permanent,Academic Non-Clinical (Education),AC3,F,1,21/11/2016 00:00,31/05/2024 00:00
1110535C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,F,1,01/10/2018 00:00,31/05/2024 00:00
1080537C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,F,1,24/09/2018 00:00,31/05/2024 00:00
1110540C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,M,1,01/01/2019 00:00,31/05/2024 00:00
1060540C3,"Arts, Humanities and Social Sciences",Queen's Business School,Academic,Permanent,Permanent,Academic Non-Clinical,AC3,M,1,07/01/2019 00:00,31/05/2024 00:00
